"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"VOLUME";"Potentiometer_Alps_RK163_Double_Vertical(SWAP)";1;"POT_Dual";;;
2;"";"";1;"";;;
3;"D1";"DO-214AB";1;"SS34";;;
4;"C3,C1,C2,C6,C7,C9,C12,C26";"C_Disc_D3.0mm_W1.6mm_P2.50mm";8;"100nF";;;
5;"C4,C5";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"10nF";;;
6;"C10,C11";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"22pF";;;
7;"C19";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"220pF";;;
8;"C31,C32";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"0.22uF";;;
9;"C33,C35";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"68nF";;;
10;"C8";"CP_Radial_D4.0mm_P1.50mm";1;"10uF";;;
11;"C13";"CP_Radial_D10.0mm_P5.00mm";1;"680uF";;;
12;"C14";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
13;"C15,C16";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"1uF";;;
14;"C17";"CP_Radial_D6.3mm_P2.50mm";1;"68uF";;;
15;"C18";"CP_Radial_D5.0mm_P2.00mm";1;"100uF";;;
16;"C20,C21";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"10uF";;;
17;"C22,C23,C24,C25";"C_Disc_D4.7mm_W2.5mm_P5.00mm";4;"5.6nF";;;
18;"C27,C28,C29,C30";"CP_Radial_D4.0mm_P1.50mm";4;"1uF";;;
19;"C34,C36,C37";"CP_Radial_D8.0mm_P2.50mm";3;"1000uF";;;
20;"J1";"SD_TE_2041021";1;"SD_Card";;;
21;"J2";"USB_B";1;"USB_B";;;
22;"J3";"BARREL_JACK";1;"Barrel_Jack";;;
23;"J4";"PJ320E_3.5mm_Jack";1;"AMP_OUT";;;
24;"L1,L2,L3";"L_Radial_D7.0mm_P3.00mm";3;"33uH";;;
25;"L4,L5";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";2;"22uH";;;
26;"R1,R11,R24,R25,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10k";;;
27;"R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7k";;;
28;"R4,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"47k";;;
29;"R6,R7,R8,R27,R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"2.2k";;;
30;"R9,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"51k";;;
31;"R28,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"33k";;;
32;"SW1";"SW_TH_Tactile_Omron_B3F-10xx";1;"PREV";;;
33;"SW2";"SW_TH_Tactile_Omron_B3F-10xx";1;"RAND";;;
34;"SW3";"SW_TH_Tactile_Omron_B3F-10xx";1;"NEXT";;;
35;"SW4";"SW_TH_Tactile_Omron_B3F-10xx";1;"OPTION";;;
36;"SW5";"1825115-1";1;"POWER";;;
37;"SW6";"1825115-1";1;"MUTE_SN";;;
38;"U1";"BluePill_STM32F103C";1;"BluePill_STM32F103C";;;
39;"U2";"DIP-16_W7.62mm";1;"SN769486";;;
40;"U3";"DIP-24_W15.24mm";1;"YM2612";;;
41;"U4";"SOIC16";1;"CH340G";;;
42;"U5,U6";"MSOP-8_3x3mm_Pitch0.65mm";2;"LTC6904";;;
43;"U7";"DIP-8_W7.62mm";1;"23LC1024";;;
44;"U8";"DIP-8_W7.62mm";1;"TL062";;;
45;"U9";"DIP-20_W7.62mm";1;"TPA3122D2";;;
46;"U10";"SOT-223-3_TabPin2";1;"LD1117S33";;;
47;"U11";"TO170P1435X465-6N";1;"LM2596T-5";;;
48;"U12";"1_3_Inch_I2C_OLED";1;"I2C_OLED";;;
49;"Y1";"Crystal_HC49-U_Vertical";1;"12MHz";;;
